"","Year","Drug","DDD/TID","DDD/TID - lower","DDD/TID - upper","Area"
"46",2010,"Gabapentinoids",0.0686058029469931,0.0685182301681295,0.0686934876521512,"South-eastern Asia"
"47",2010,"Gabapentinoids",0.173710899624054,0.142996064770956,0.211023126381358,"Southern Asia"
"48",2010,"Gabapentinoids",0.493898604721577,0.219278960166452,1.11244522301981,"Western Asia"
"49",2010,"Gabapentinoids",0.173033253827856,0.102868037996872,0.291057431572339,"Northern Africa"
"50",2010,"Gabapentinoids",0.182516358135403,0.182322864447856,0.182710057171891,"Southern Africa"
"51",2011,"Gabapentinoids",7.14825100051668,4.80907801259109,10.6252159421421,"Northern America"
"52",2011,"Gabapentinoids",0.397019905520492,0.154424572125637,1.02072360123659,"Central and South America and the Caribbean"
"53",2011,"Gabapentinoids",2.31290443555557,1.84569451866569,2.89838154359367,"Northern Europe"
"54",2011,"Gabapentinoids",0.460083114092567,0.193838312495127,1.09202597334021,"Eastern Europe"
"55",2011,"Gabapentinoids",2.2786185680263,1.44205902177761,3.60047855194856,"Southern Europe"
"56",2011,"Gabapentinoids",3.41301805418789,3.00269552738063,3.87941172589487,"Western Europe"
"57",2011,"Gabapentinoids",1.78140080791485,1.55540584811234,2.04023203480362,"Australia and New Zealand"
"58",2011,"Gabapentinoids",0.204047305042066,0.0512497872573882,0.812399522476606,"Eastern Asia"
"59",2011,"Gabapentinoids",0.0734711063585487,0.0733812425441392,0.0735610802215872,"South-eastern Asia"
"60",2011,"Gabapentinoids",0.214254017386267,0.177732660516682,0.25827995728363,"Southern Asia"
"61",2011,"Gabapentinoids",0.599640699329967,0.256519897481408,1.40171960079234,"Western Asia"
"62",2011,"Gabapentinoids",0.223018733964488,0.129564695967494,0.38388046471858,"Northern Africa"
"63",2011,"Gabapentinoids",0.209310673497098,0.209105028567473,0.209516520668809,"Southern Africa"
"64",2012,"Gabapentinoids",7.39045550699061,5.65825678148112,9.65294342589215,"Northern America"
"65",2012,"Gabapentinoids",0.476751423910306,0.189570264982001,1.19898508461802,"Central and South America and the Caribbean"
"66",2012,"Gabapentinoids",2.68047880421234,2.09524732700334,3.42917350483281,"Northern Europe"
"67",2012,"Gabapentinoids",0.504360188891514,0.232117304660474,1.09590795270854,"Eastern Europe"
"68",2012,"Gabapentinoids",2.42660630802961,1.5260054673124,3.85871368111137,"Southern Europe"
"69",2012,"Gabapentinoids",3.69892580618883,3.26105198384191,4.19559460796162,"Western Europe"
"70",2012,"Gabapentinoids",2.04245979297396,1.85902102934388,2.24399936314199,"Australia and New Zealand"
"71",2012,"Gabapentinoids",0.288371941218773,0.0629428267726818,1.32117320981802,"Eastern Asia"
"72",2012,"Gabapentinoids",0.0780402885227654,0.0779484561941174,0.0781322290405553,"South-eastern Asia"
"73",2012,"Gabapentinoids",0.23776464903907,0.190657492837657,0.296510918565412,"Southern Asia"
"74",2012,"Gabapentinoids",0.627590359518236,0.250969144628579,1.56939475545145,"Western Asia"
"75",2012,"Gabapentinoids",0.283276372270002,0.174351149253762,0.460252217607458,"Northern Africa"
"76",2012,"Gabapentinoids",0.237881970495407,0.237664458105445,0.238099681954427,"Southern Africa"
"77",2013,"Gabapentinoids",8.42593583798776,6.5306494219245,10.8712610582861,"Northern America"
"78",2013,"Gabapentinoids",0.539114209344541,0.226188047031859,1.2849667987816,"Central and South America and the Caribbean"
"79",2013,"Gabapentinoids",3.15138497636394,2.40318926868681,4.13251981383853,"Northern Europe"
"80",2013,"Gabapentinoids",0.683700522511968,0.380643672293996,1.22804196813785,"Eastern Europe"
"81",2013,"Gabapentinoids",2.57116766749332,1.61992589587211,4.08099110657404,"Southern Europe"
"82",2013,"Gabapentinoids",3.88441401502545,3.41554545929361,4.41764644035705,"Western Europe"
"83",2013,"Gabapentinoids",2.94065792173496,1.68485803632301,5.1324615049079,"Australia and New Zealand"
"84",2013,"Gabapentinoids",0.368130831816236,0.0727648539297881,1.86244185227775,"Eastern Asia"
"85",2013,"Gabapentinoids",0.0913580132251367,0.091259485946281,0.0914566468778621,"South-eastern Asia"
"86",2013,"Gabapentinoids",0.258758812181985,0.203942211964241,0.328309290347268,"Southern Asia"
"87",2013,"Gabapentinoids",0.903462827723809,0.408848021672499,1.9964510962769,"Western Asia"
"88",2013,"Gabapentinoids",0.337222636504202,0.207934382317723,0.546899003922703,"Northern Africa"
"89",2013,"Gabapentinoids",0.252928744304476,0.252706246351647,0.253151438158038,"Southern Africa"
"90",2014,"Gabapentinoids",9.12677590365953,7.2314865806809,11.5187987236474,"Northern America"
"91",2014,"Gabapentinoids",0.621846859204345,0.259497133858787,1.49016488371983,"Central and South America and the Caribbean"
"92",2014,"Gabapentinoids",3.53712388730203,2.58858858624215,4.83323053366512,"Northern Europe"
"93",2014,"Gabapentinoids",0.82074393409923,0.478974305886741,1.40638150539951,"Eastern Europe"
"94",2014,"Gabapentinoids",2.77865939002289,1.76671131506644,4.37023748018055,"Southern Europe"
"95",2014,"Gabapentinoids",4.13914563447958,3.63862033205341,4.70852274212485,"Western Europe"
"96",2014,"Gabapentinoids",3.92689961056856,1.65227088669878,9.3329372777932,"Australia and New Zealand"
"97",2014,"Gabapentinoids",0.446160929123825,0.0817897885892885,2.4337949530133,"Eastern Asia"
"98",2014,"Gabapentinoids",0.0950339609159392,0.0949342934754251,0.0951337329930217,"South-eastern Asia"
"99",2014,"Gabapentinoids",0.286776051251887,0.21650824091981,0.379849299140928,"Southern Asia"
"100",2014,"Gabapentinoids",1.08843561112021,0.525501955336194,2.25440089713216,"Western Asia"
"101",2014,"Gabapentinoids",0.410967695913683,0.248389653175816,0.679957658965182,"Northern Africa"
"102",2014,"Gabapentinoids",0.272652456391806,0.272423263594546,0.27288184201158,"Southern Africa"
"103",2015,"Gabapentinoids",10.2392714365083,7.92355959939802,13.2317651221377,"Northern America"
"104",2015,"Gabapentinoids",0.71228071736968,0.299011324501971,1.69673781145811,"Central and South America and the Caribbean"
"105",2015,"Gabapentinoids",4.02026863026931,2.88633275571931,5.59968694791033,"Northern Europe"
"106",2015,"Gabapentinoids",0.922951179721083,0.507801256155789,1.67750447605668,"Eastern Europe"
"107",2015,"Gabapentinoids",2.95619384234193,1.90274865514873,4.59287253198307,"Southern Europe"
"108",2015,"Gabapentinoids",4.3577185902692,3.87139992963894,4.90512777215161,"Western Europe"
"109",2015,"Gabapentinoids",4.70914657077552,1.88217967325683,11.7821171592373,"Australia and New Zealand"
"110",2015,"Gabapentinoids",0.509835697332752,0.0888752079076802,2.92469007267786,"Eastern Asia"
"111",2015,"Gabapentinoids",0.105589001732881,0.10548476829591,0.105693338166802,"South-eastern Asia"
"112",2015,"Gabapentinoids",0.325046617433455,0.245518105797389,0.430336097461267,"Southern Asia"
"113",2015,"Gabapentinoids",1.20166966204924,0.53226472977958,2.71295446776555,"Western Asia"
"114",2015,"Gabapentinoids",0.490651243121788,0.294396957026233,0.817734819030431,"Northern Africa"
"115",2015,"Gabapentinoids",0.290930224880801,0.290695277490256,0.291165362161862,"Southern Africa"
"116",2016,"Gabapentinoids",11.3219533413849,8.86841675668756,14.4542854695944,"Northern America"
"117",2016,"Gabapentinoids",0.716994654238374,0.294127168114318,1.74781995659306,"Central and South America and the Caribbean"
"118",2016,"Gabapentinoids",4.56478002582254,3.21817801082909,6.47484900276857,"Northern Europe"
"119",2016,"Gabapentinoids",0.997114502455129,0.425739576169897,2.33531808330071,"Eastern Europe"
"120",2016,"Gabapentinoids",3.32785882443206,2.13177913054846,5.1950242858889,"Southern Europe"
"121",2016,"Gabapentinoids",4.86294880150167,4.50474774281799,5.24963269779743,"Western Europe"
"122",2016,"Gabapentinoids",5.46935904927701,2.23260966520821,13.3986199540701,"Australia and New Zealand"
"123",2016,"Gabapentinoids",0.588514113013422,0.101339966159007,3.41769268673859,"Eastern Asia"
"124",2016,"Gabapentinoids",0.120601061601566,0.120490497045577,0.120711727613863,"South-eastern Asia"
"125",2016,"Gabapentinoids",0.361412959339483,0.273637524969292,0.4773443525086,"Southern Asia"
"126",2016,"Gabapentinoids",1.41276390617347,0.633316059637692,3.15150993601573,"Western Asia"
"127",2016,"Gabapentinoids",0.61033497452103,0.359657828045457,1.03573105345146,"Northern Africa"
"128",2016,"Gabapentinoids",0.323805873325274,0.323559818065062,0.3240521157014,"Southern Africa"
"129",2017,"Gabapentinoids",12.2930702451229,9.52614690381645,15.8636621477025,"Northern America"
"130",2017,"Gabapentinoids",0.754090769021789,0.308998127949327,1.84031175754284,"Central and South America and the Caribbean"
"131",2017,"Gabapentinoids",5.03357239798561,3.54058420475409,7.15612159477573,"Northern Europe"
"132",2017,"Gabapentinoids",1.24272448331184,0.574201382588887,2.68958624665732,"Eastern Europe"
"133",2017,"Gabapentinoids",3.55786033262497,2.31882721848342,5.45895358031255,"Southern Europe"
"134",2017,"Gabapentinoids",5.0663691567664,4.73148600517813,5.42495452898788,"Western Europe"
"135",2017,"Gabapentinoids",6.00573599487164,2.54881161799975,14.1512478150122,"Australia and New Zealand"
"136",2017,"Gabapentinoids",0.675973616847315,0.11429511102547,3.99789918023538,"Eastern Asia"
"137",2017,"Gabapentinoids",0.130633870961466,0.130519625476673,0.130748216446781,"South-eastern Asia"
"138",2017,"Gabapentinoids",0.394613892120254,0.295288295477406,0.527349462336582,"Southern Asia"
"139",2017,"Gabapentinoids",1.78762206322588,0.877586405496585,3.64134246031731,"Western Asia"
"140",2017,"Gabapentinoids",0.936754522069506,0.525136900885288,1.67101004164503,"Northern Africa"
"141",2017,"Gabapentinoids",0.334996164294574,0.334747658070804,0.335244855001616,"Southern Africa"
"142",2018,"Gabapentinoids",12.461982674176,9.57700328266952,16.2160341379953,"Northern America"
"143",2018,"Gabapentinoids",0.785868870732709,0.351370713361628,1.75765895819292,"Central and South America and the Caribbean"
"144",2018,"Gabapentinoids",5.4661697350948,3.8588940450641,7.74289504296821,"Northern Europe"
"145",2018,"Gabapentinoids",1.48777172777358,0.727159470220837,3.04398801722289,"Eastern Europe"
"146",2018,"Gabapentinoids",3.75120785371089,2.44218398649704,5.76187561606522,"Southern Europe"
"147",2018,"Gabapentinoids",5.28097199128817,4.93220248246697,5.65440394466953,"Western Europe"
"148",2018,"Gabapentinoids",6.887573612373,3.71429937093939,12.7719027273397,"Australia and New Zealand"
"149",2018,"Gabapentinoids",0.774368737641629,0.130656331920965,4.58949775353727,"Eastern Asia"
"150",2018,"Gabapentinoids",0.157439765214991,0.15731521193395,0.157564417110271,"South-eastern Asia"
"151",2018,"Gabapentinoids",0.452589905758209,0.354118662323857,0.578443455789662,"Southern Asia"
"152",2018,"Gabapentinoids",1.57304655535723,0.639639617296453,3.86854628514105,"Western Asia"
"153",2018,"Gabapentinoids",1.47697454465678,0.848945966753327,2.56960264963242,"Northern Africa"
"154",2018,"Gabapentinoids",0.373841889695477,0.373581148460345,0.374102812915144,"Southern Africa"
