"","Year","Drug","DDD/TID","DDD/TID - lower","DDD/TID - upper","Area"
"Year812",2015,"Gabapentin",0.0619302878867804,0.0282424614632483,0.135801214165785,"Northern Africa"
"Year813",2015,"Gabapentin",0.0551174045904049,0.0550151945831525,0.0552198044885713,"Southern Africa"
"Year9",2016,"Gabapentin",6.84295268991325,3.07196927282271,15.2429915008116,"Northern America"
"Year91",2016,"Gabapentin",0.10859113706265,0.0169277463309744,0.696609862766086,"Central and South America and the Caribbean"
"Year92",2016,"Gabapentin",1.75418240739888,1.12641130585853,2.7318226498822,"Northern Europe"
"Year93",2016,"Gabapentin",0.481500835529237,0.223479407010888,1.03742469033873,"Eastern Europe"
"Year94",2016,"Gabapentin",0.461650775657562,0.265414602839836,0.802975557429432,"Southern Europe"
"Year95",2016,"Gabapentin",1.02269347435121,0.801238843321331,1.30535601362639,"Western Europe"
"Year96",2016,"Gabapentin",1.46006740394623,0.286961548460944,7.42885879832933,"Australia and New Zealand"
"Year97",2016,"Gabapentin",0.145511036741035,0.0194508990741327,1.08855954332769,"Eastern Asia"
"Year98",2016,"Gabapentin",0.0254085188962304,0.0252863913783261,0.0255312362622632,"Central Asia"
"Year99",2016,"Gabapentin",0.120975251200731,0.00662199497208496,2.21006078451795,"South-eastern Asia"
"Year910",2016,"Gabapentin",0.0277599117476861,0.0162852195592853,0.0473197611757063,"Southern Asia"
"Year911",2016,"Gabapentin",0.32820101250637,0.10897982343974,0.988402267597427,"Western Asia"
"Year912",2016,"Gabapentin",0.0845857836199678,0.0468519940543032,0.152709717804356,"Northern Africa"
"Year913",2016,"Gabapentin",0.0641593288779157,0.0640498539128586,0.0642689909592149,"Southern Africa"
"Year10",2017,"Gabapentin",7.39020259947918,3.13232338205718,17.4359693428205,"Northern America"
"Year101",2017,"Gabapentin",0.114786384966549,0.0174780861139393,0.753853373178009,"Central and South America and the Caribbean"
"Year102",2017,"Gabapentin",2.00167306548859,1.3232645662372,3.02788660962624,"Northern Europe"
"Year103",2017,"Gabapentin",0.561876389342693,0.26987161082978,1.16983433689107,"Eastern Europe"
"Year104",2017,"Gabapentin",0.470948404373475,0.267627608731967,0.828735124275052,"Southern Europe"
"Year105",2017,"Gabapentin",1.00986085611103,0.793800926986421,1.28472884577868,"Western Europe"
"Year106",2017,"Gabapentin",1.57182730279862,0.285508242896104,8.65348420333438,"Australia and New Zealand"
"Year107",2017,"Gabapentin",0.154053333724933,0.0212017982778758,1.11935927890279,"Eastern Asia"
"Year108",2017,"Gabapentin",0.0230113945907802,0.0228959862269376,0.0231273846762535,"Central Asia"
