"","Drug","Region","Country","expcoef","explower","expupper","p-value"
"116","Gabapentin","Northern Europe","NORWAY",9.54156851301418,7.10538978758333,12.0331596392029,0.00000734804971541244
"117","Gabapentinoids","Northern Europe","NORWAY",6.81934772694499,6.07344511081018,7.57049548914039,0.00000000521404757024027
"118","Pregabalin","Northern Europe","NORWAY",4.96551956785227,3.97900519467511,5.96139362481041,0.00000102007468502995
"119","Gabapentin","Southern Asia","PAKISTAN",-4.57886151528998,-5.94998962077915,-3.18774412671533,0.0000444117815653806
"120","Gabapentinoids","Southern Asia","PAKISTAN",13.2090028128979,11.0722522774819,15.3868590498458,0.000000132160828881878
"121","Pregabalin","Southern Asia","PAKISTAN",19.3917568095415,14.3373681641716,24.6695793592302,0.00000670606893051774
"122","Gabapentin","Central and South America and the Caribbean","PERU",16.3195768917873,6.45868389192541,27.0938496855741,0.00384460244908113
"123","Gabapentinoids","Central and South America and the Caribbean","PERU",19.0643915180058,16.7069453793822,21.4694573786471,0.0000000101979037353734
"124","Pregabalin","Central and South America and the Caribbean","PERU",20.7503807162594,17.1329579940365,24.4795204767552,0.00000020210691898362
"125","Gabapentin","South-eastern Asia","PHILIPPINES",0.128239714324141,-1.66256433110268,1.95165574629814,0.87592233355324
"126","Gabapentinoids","South-eastern Asia","PHILIPPINES",10.4472354792526,9.49337158597374,11.4094090657459,0.000000000914594629258786
"127","Pregabalin","South-eastern Asia","PHILIPPINES",15.5573315447939,14.4053337521059,16.7209293116337,0.000000000116749508083144
"128","Gabapentin","Eastern Europe","POLAND",14.1096371508716,12.1893366915371,16.0628066329035,0.0000000280490252120494
"129","Gabapentinoids","Eastern Europe","POLAND",26.3367011592392,19.7154910116635,33.3241164106646,0.00000414755991371921
"130","Pregabalin","Eastern Europe","POLAND",74.6508424129374,52.4460148516616,100.089958305763,0.00000666056056024264
"131","Gabapentin","Southern Europe","PORTUGAL",2.14202773234446,0.791535078416694,3.51061546148757,0.00572898189912413
"132","Gabapentinoids","Southern Europe","PORTUGAL",5.09980887159771,3.81512614172561,6.40038918574071,0.00000746403447023387
"133","Pregabalin","Southern Europe","PORTUGAL",6.59038727391428,4.17746277509519,9.05919914493372,0.000140082894108347
"134","Gabapentin","Central and South America and the Caribbean","PUERTO RICO",14.5866846450066,12.2282699486137,16.9946601150148,0.000000125941710254212
"135","Gabapentin Enacarbil","Central and South America and the Caribbean","PUERTO RICO",5.92604555483138,-96.8549849872301,3467.65455214857,0.869446571490098
"136","Gabapentinoids","Central and South America and the Caribbean","PUERTO RICO",12.3250548522944,10.5139615751102,14.1658281700084,0.0000000585071315008525
"137","Pregabalin","Central and South America and the Caribbean","PUERTO RICO",-0.785867547663877,-1.32024923540363,-0.248592016091131,0.00916077217903263
"138","Gabapentin","Eastern Europe","ROMANIA",32.6162053668548,23.0206807578277,42.9601739932231,0.0000135640484389581
"139","Gabapentinoids","Eastern Europe","ROMANIA",15.4319543649615,12.3148500074087,18.6355685613758,0.000000851432118882975
"140","Pregabalin","Eastern Europe","ROMANIA",-5.22412352156371,-10.128059692956,-0.0526000488298317,0.0482017152301768
"141","Gabapentin","Eastern Europe","RUSSIA",30.878936089927,22.316400962707,40.0408757714654,0.0000085612749813889
"142","Gabapentinoids","Eastern Europe","RUSSIA",32.1556160042125,11.7818890625164,56.2427240041107,0.00443686885874503
"143","Pregabalin","Eastern Europe","RUSSIA",32.5808042496611,6.39973799372739,65.2040689848618,0.0175941096159962
"144","Gabapentin","Western Asia","SAUDI ARABIA",20.8802020614051,11.3111723993679,31.271847519316,0.000562900957938576
"145","Gabapentinoids","Western Asia","SAUDI ARABIA",16.5677289673858,11.009505970227,22.4042510400708,0.0000567810391059959
"146","Pregabalin","Western Asia","SAUDI ARABIA",12.1542802975419,0.842638886723113,24.7347622783768,0.0373215727774586
"147","Gabapentin","Southern Europe","SERBIA",6.5364168831592,2.72072834252168,10.4938438954186,0.00539309822122651
"148","Gabapentinoids","Southern Europe","SERBIA",57.9661592933781,48.795385239578,67.7021598601539,0.00000150693828997269
"149","Pregabalin","Southern Europe","SERBIA",85.5713272355583,63.5878228506423,110.509051907903,0.0000203246590217556
"150","Gabapentin","Eastern Europe","SLOVAKIA",10.7092776500358,8.55694539214371,12.9042836781931,0.000000939535832280331
"151","Gabapentinoids","Eastern Europe","SLOVAKIA",12.8657132678079,9.8727500131125,15.9402056463569,0.00000306610179449661
"152","Pregabalin","Eastern Europe","SLOVAKIA",14.112247822113,10.1835432624724,18.1810342765622,0.0000132894574704502
"153","Gabapentin","Southern Europe","SLOVENIA",-2.4466339040035,-3.8906750396078,-0.980896072452397,0.00450298582289485
"154","Gabapentinoids","Southern Europe","SLOVENIA",10.059563736988,9.17448117011888,10.9518217091512,0.000000000666362613605309
"155","Pregabalin","Southern Europe","SLOVENIA",12.6188120092754,10.9350890522546,14.3280897571224,0.0000000247383281515732
"156","Gabapentin","Southern Africa","SOUTH AFRICA",3.70524888723922,2.39199243012447,5.03534887363024,0.000117033019379911
"157","Gabapentinoids","Southern Africa","SOUTH AFRICA",10.8801305488844,8.73318645140382,13.0694662023207,0.000000798437047877309
"158","Pregabalin","Southern Africa","SOUTH AFRICA",13.7310827035784,9.80910229399772,17.7931419409776,0.0000165713018013571
"159","Gabapentin","Eastern Asia","SOUTH KOREA",4.28171220226823,3.63504438520916,4.93241513378206,0.0000000978895907642162
"160","Gabapentinoids","Eastern Asia","SOUTH KOREA",12.1178650014268,11.071959140991,13.1736196038616,0.000000000520957031455178
"161","Pregabalin","Eastern Asia","SOUTH KOREA",19.6087490096457,16.1742519885848,23.1447811780026,0.000000217815071196594
"162","Gabapentin","Southern Europe","SPAIN",2.12394492271277,1.38045415647026,2.87288820467033,0.000110586546570895
"163","Gabapentinoids","Southern Europe","SPAIN",6.16680238800491,4.9112018900209,7.4374301908156,0.00000120974023848249
"164","Pregabalin","Southern Europe","SPAIN",8.5576917031678,6.06430652957624,11.1096919738388,0.0000222685854954908
