"","Year","Drug","Country","DDD","Population","Class","Region","DDDPTPD"
"120",2008,"Pregabalin","SOUTH AFRICA",1170674,49779.472,"Gabapentinoids","Southern Africa",0.0643865955905496
"121",2008,"Pregabalin","SOUTH KOREA",5482537,49182.458,"Gabapentinoids","Eastern Asia",0.305197601976926
"122",2008,"Pregabalin","SPAIN",34478405,46068.811,"Gabapentinoids","Southern Europe",2.04903765083734
"123",2008,"Pregabalin","SWEDEN",7389245,9236.433,"Gabapentinoids","Northern Europe",2.19030985658229
"124",2008,"Pregabalin","SWITZERLAND",3709563,7622.826,"Gabapentinoids","Western Europe",1.33234445853364
"125",2008,"Pregabalin","TAIWAN",0,23019.042,"Gabapentinoids","Eastern Asia",0
"126",2008,"Pregabalin","THAILAND",0,66530.98,"Gabapentinoids","South-eastern Asia",0
"127",2008,"Pregabalin","TUNISIA",219773,10414.425,"Gabapentinoids","Northern Africa",0.0577761788135575
"128",2008,"Pregabalin","TÜRKIYE",5276741,70418.612,"Gabapentinoids","Western Asia",0.205157828165404
"129",2008,"Pregabalin","UNITED ARAB EMIRATES",543926,7089.486,"Gabapentinoids","Western Asia",0.21005588095408
"130",2008,"Pregabalin","UNITED KINGDOM",30838071,62145.098,"Gabapentinoids","Northern Europe",1.35859528230184
"131",2008,"Pregabalin","UNITED STATES",242432793,303486.022,"Gabapentinoids","Northern America",2.18706881050912
"132",2008,"Pregabalin","URUGUAY",71005,3340.221,"Gabapentinoids","Central and South America and the Caribbean",0.0582000697379948
"133",2008,"Pregabalin","VENEZUELA",2318505,27635.827,"Gabapentinoids","Central and South America and the Caribbean",0.229691723689677
"134",2009,"Gabapentin","ALGERIA",0,35333.882,"Gabapentinoids","Northern Africa",0
"135",2009,"Gabapentin","ARGENTINA",1765949,40482.786,"Gabapentinoids","Central and South America and the Caribbean",0.119431129559244
"136",2009,"Gabapentin","AUSTRALIA",6173027,21750.852,"Gabapentinoids","Australia and New Zealand",0.777019071755797
"137",2009,"Gabapentin","AUSTRIA",4820176,8372.658,"Gabapentinoids","Western Europe",1.57619272824893
"138",2009,"Gabapentin","BELARUS",31913,9433.159,"Gabapentinoids","Eastern Europe",0.00926233006034848
"139",2009,"Gabapentin","BELGIUM",1455378,10859.934,"Gabapentinoids","Western Europe",0.366909025678678
"140",2009,"Gabapentin","BOSNIA AND HERZEGOVINA",0,3735.945,"Gabapentinoids","Southern Europe",0
"141",2009,"Gabapentin","BRAZIL",4180249,193886.505,"Gabapentinoids","Central and South America and the Caribbean",0.0590288530656539
"142",2009,"Gabapentin","BULGARIA",328727,7473.509,"Gabapentinoids","Eastern Europe",0.120426091104135
"143",2009,"Gabapentin","CANADA",32495964,33746.093,"Gabapentinoids","Northern America",2.63642670030028
"144",2009,"Gabapentin","CHILE",206567,16886.184,"Gabapentinoids","Central and South America and the Caribbean",0.0334918548527907
"145",2009,"Gabapentin","CHINA",982318,1361169.41,"Gabapentinoids","Eastern Asia",0.0019758305540484
"146",2009,"Gabapentin","COLOMBIA",469430,44750.054,"Gabapentinoids","Central and South America and the Caribbean",0.0287201730528285
"147",2009,"Gabapentin","CROATIA",472440,4341.261,"Gabapentinoids","Southern Europe",0.297948044559562
"148",2009,"Gabapentin","CZECH REPUBLIC",3412859,10488.155,"Gabapentinoids","Eastern Europe",0.890900134439363
"149",2009,"Gabapentin","ECUADOR",375358,14774.412,"Gabapentinoids","Central and South America and the Caribbean",0.0695577052918472
"150",2009,"Gabapentin","EGYPT",2467951,81134.789,"Gabapentinoids","Northern Africa",0.0832797086334132
"151",2009,"Gabapentin","ESTONIA",53230,1336.14,"Gabapentinoids","Northern Europe",0.109072250961008
"152",2009,"Gabapentin","FINLAND",1880370,5342.266,"Gabapentinoids","Northern Europe",0.963668316890172
"153",2009,"Gabapentin","FRANCE",29692714,62542.883,"Gabapentinoids","Western Europe",1.29981568641453
"154",2009,"Gabapentin","GERMANY",39659428,80899.961,"Gabapentinoids","Western Europe",1.34217118061415
"155",2009,"Gabapentin","GREECE",3195353,10959.268,"Gabapentinoids","Southern Europe",0.798264968628828
"156",2009,"Gabapentin","HUNGARY",993297,9959.439,"Gabapentinoids","Eastern Europe",0.273057445635839
"157",2009,"Gabapentin","INDIA",15252411.3888889,1217726.217,"Gabapentinoids","Southern Asia",0.0342924591289571
"158",2009,"Gabapentin","IRELAND",1484411,4494.572,"Gabapentinoids","Northern Europe",0.904223099502589
"159",2009,"Gabapentin","ITALY",11593491,59105.622,"Gabapentinoids","Southern Europe",0.537025876488685
"160",2009,"Gabapentin","JAPAN",6939807,128555.196,"Gabapentinoids","Eastern Asia",0.147797651504455
"161",2009,"Gabapentin","JORDAN",222960,6893.258,"Gabapentinoids","Western Asia",0.0885548185631487
