"","Year","Drug","Country","DDD","Population","Class","Region","DDDPTPD","x","pt","rate","lower","upper","conf.level"
"79",2008,"Pregabalin","CHILE",1030444,16708.255,"Gabapentinoids","Central and South America and the Caribbean",0.168850781634321,1030444,6102690.13875,0.168850781634321,0.168524765593488,0.169176797675153,0.95
"80",2008,"Pregabalin","CHINA",0,1353569.48,"Gabapentinoids","Eastern Asia",0,0,494391252.57,0,0,0,0.95
"81",2008,"Pregabalin","COLOMBIA",866397,44254.972,"Gabapentinoids","Central and South America and the Caribbean",0.0535999821312482,866397,16164128.523,0.0535999821312482,0.0534871184358178,0.0537128458266786,0.95
"82",2008,"Pregabalin","CROATIA",37114,4352.639,"Gabapentinoids","Southern Europe",0.0233450543712954,37114,1589801.39475,0.0233450543712954,0.0231075486372997,0.0235825601052911,0.95
"83",2008,"Pregabalin","CZECH REPUBLIC",1623159,10425.267,"Gabapentinoids","Eastern Europe",0.426268904747529,1623159,3807828.77175,0.426268904747529,0.425613135249963,0.426924674245095,0.95
"84",2008,"Pregabalin","ECUADOR",647737,14535.74,"Gabapentinoids","Central and South America and the Caribbean",0.122003231710569,647737,5309179.035,0.122003231710569,0.121706119792523,0.122300343628615,0.95
"85",2008,"Pregabalin","EGYPT",887595,79636.081,"Gabapentinoids","Northern Africa",0.030515096158543,887595,29087078.58525,0.030515096158543,0.0304516134555124,0.0305785788615736,0.95
"86",2008,"Pregabalin","ESTONIA",61968,1340.067,"Gabapentinoids","Northern Europe",0.126604966450933,61968,489459.47175,0.126604966450933,0.125608150236532,0.127601782665334,0.95
"87",2008,"Pregabalin","FINLAND",6599139,5319.452,"Gabapentinoids","Northern Europe",3.39648856790965,6599139,1942929.843,3.39648856790965,3.3938971669808,3.39907996883851,0.95
"88",2008,"Pregabalin","FRANCE",49244552,62209.207,"Gabapentinoids","Western Europe",2.1672714049412,49244552,22721912.85675,2.1672714049412,2.16666608874189,2.1678767211405,0.95
"89",2008,"Pregabalin","GERMANY",46053366,81065.751,"Gabapentinoids","Western Europe",1.55537008906736,46053366,29609265.55275,1.55537008906736,1.55492087727866,1.55581930085606,0.95
"90",2008,"Pregabalin","GREECE",5705741,11040.312,"Gabapentinoids","Southern Europe",1.4149480094423,5705741,4032473.958,1.4149480094423,1.4137870085685,1.4161090103161,0.95
"91",2008,"Pregabalin","HUNGARY",1807750,9991.867,"Gabapentinoids","Eastern Europe",0.495337834304445,1807750,3649529.42175,0.495337834304445,0.49461576246676,0.496059906142131,0.95
"92",2008,"Pregabalin","INDIA",36586805,1200669.762,"Gabapentinoids","Southern Asia",0.0834277800925403,36586805,438544630.5705,0.0834277800925403,0.0834007469499053,0.0834548132351753,0.95
"93",2008,"Pregabalin","IRELAND",3150636,4415.871,"Gabapentinoids","Northern Europe",1.95340200213429,3150636,1612896.88275,1.95340200213429,1.95124504952133,1.95555895474725,0.95
"94",2008,"Pregabalin","ITALY",19818187,58922.116,"Gabapentinoids","Southern Europe",0.920863719108139,19818187,21521302.869,0.920863719108139,0.920458293205157,0.92126914501112,0.95
"95",2008,"Pregabalin","JAPAN",0,128538.644,"Gabapentinoids","Eastern Asia",0,0,46948739.721,0,0,0,0.95
"96",2008,"Pregabalin","JORDAN",122185,6556.473,"Gabapentinoids","Western Asia",0.0510219897841013,122185,2394751.76325,0.0510219897841013,0.0507359038299786,0.0513080757382239,0.95
"97",2008,"Pregabalin","KAZAKHSTAN",0,15862.126,"Gabapentinoids","Central Asia",0,0,5793641.5215,0,0,0,0.95
"98",2008,"Pregabalin","KUWAIT",85113,2656.01,"Gabapentinoids","Western Asia",0.0877356237533648,85113,970107.6525,0.0877356237533648,0.0871462020681176,0.0883250454386121,0.95
"99",2008,"Pregabalin","LATVIA",66846,2171.248,"Gabapentinoids","Northern Europe",0.0842899446385822,66846,793048.332,0.0842899446385822,0.083650966283055,0.0849289229941095,0.95
"100",2008,"Pregabalin","LEBANON",279325,4764.745,"Gabapentinoids","Western Asia",0.160501804632918,279325,1740323.11125,0.160501804632918,0.159906590674767,0.16109701859107,0.95
