"","Drug","Region","Country","expcoef","explower","expupper","p-value"
"116","Gabapentin","Northern Europe","NORWAY",9.84105286663681,7.44945683835216,12.285880728109,0.00000482790133553246
"117","Gabapentinoids","Northern Europe","NORWAY",7.05731508340885,6.38066929797658,7.73826474775037,0.00000000160221287296479
"118","Pregabalin","Northern Europe","NORWAY",5.16295641220921,4.15255726494819,6.18315758895076,0.000000891231854916141
"119","Gabapentin","Southern Asia","PAKISTAN",-4.57886151528998,-5.94998962077915,-3.18774412671533,0.0000444117815653806
"120","Gabapentinoids","Southern Asia","PAKISTAN",13.2090028128979,11.0722522774819,15.3868590498458,0.000000132160828881878
"121","Pregabalin","Southern Asia","PAKISTAN",19.3917568095415,14.3373681641716,24.6695793592302,0.00000670606893051774
"122","Gabapentin","Central and South America and the Caribbean","PERU",16.3195768917873,6.45868389192541,27.0938496855741,0.00384460244908113
"123","Gabapentinoids","Central and South America and the Caribbean","PERU",19.0643915180058,16.7069453793822,21.4694573786471,0.0000000101979037353734
"124","Pregabalin","Central and South America and the Caribbean","PERU",20.7503807162594,17.1329579940365,24.4795204767552,0.00000020210691898362
"125","Gabapentin","South-eastern Asia","PHILIPPINES",0.11930196051062,-1.68752346980104,1.95933394049779,0.885526408294493
"126","Gabapentinoids","South-eastern Asia","PHILIPPINES",10.4981650901914,9.51228618977786,11.4929193162884,0.00000000117374910635966
"127","Pregabalin","South-eastern Asia","PHILIPPINES",15.6292949479068,14.3960286856575,16.8758566513622,0.000000000205983452145806
"128","Gabapentin","Eastern Europe","POLAND",13.892215228165,11.9804198270867,15.8366499215521,0.0000000311608111588723
"129","Gabapentinoids","Eastern Europe","POLAND",26.1418855955418,19.5332166105582,33.1159300551549,0.00000436870508416268
"130","Pregabalin","Eastern Europe","POLAND",74.4493053983836,52.4236692103191,99.6577061269053,0.00000637278286419238
"131","Gabapentin","Southern Europe","PORTUGAL",2.01202091088521,0.615697368466006,3.4277223385262,0.00968847826427979
"132","Gabapentinoids","Southern Europe","PORTUGAL",5.03592568690021,3.76920123813695,6.31811320958087,0.00000738769983061425
"133","Pregabalin","Southern Europe","PORTUGAL",6.55165062466574,4.14364142495269,9.0153378113069,0.000144355431505888
"134","Gabapentin","Central and South America and the Caribbean","PUERTO RICO",15.1168187842313,12.6504734345587,17.6371617710056,0.000000134085968086609
"135","Gabapentin Enacarbil","Central and South America and the Caribbean","PUERTO RICO",5.92604555483138,-96.8549849872301,3467.65455214857,0.869446571490098
"136","Gabapentinoids","Central and South America and the Caribbean","PUERTO RICO",12.7371728805434,10.8460748651215,14.6605341196138,0.0000000632157415268748
"137","Pregabalin","Central and South America and the Caribbean","PUERTO RICO",-0.594123253091594,-1.12679157369516,-0.0585852416557731,0.0333714706175397
"138","Gabapentin","Eastern Europe","ROMANIA",32.6553684972595,22.9287380213254,43.151610228773,0.0000150357470265014
"139","Gabapentinoids","Eastern Europe","ROMANIA",15.4190364012345,12.2028044654647,18.7274598638911,0.000001123374918286
"140","Pregabalin","Eastern Europe","ROMANIA",-5.28353991135725,-10.5200636133803,0.259434393886737,0.0591540774679611
"141","Gabapentin","Eastern Europe","RUSSIA",32.8961637400128,24.6603126151539,41.6761274403009,0.00000341501042103066
"142","Gabapentinoids","Eastern Europe","RUSSIA",32.7695736422375,11.7539017696252,57.7373085503557,0.00476285814835168
"143","Pregabalin","Eastern Europe","RUSSIA",32.182066658736,5.79089810506817,65.1569185925788,0.0195957754594699
"144","Gabapentin","Western Asia","SAUDI ARABIA",20.8802020614051,11.3111723993679,31.271847519316,0.000562900957938576
"145","Gabapentinoids","Western Asia","SAUDI ARABIA",16.5677289673858,11.009505970227,22.4042510400708,0.0000567810391059959
"146","Pregabalin","Western Asia","SAUDI ARABIA",12.1542802975419,0.842638886723113,24.7347622783768,0.0373215727774586
"147","Gabapentin","Southern Europe","SERBIA",6.5364168831592,2.72072834252168,10.4938438954186,0.00539309822122651
"148","Gabapentinoids","Southern Europe","SERBIA",57.9661592933781,48.795385239578,67.7021598601539,0.00000150693828997269
"149","Pregabalin","Southern Europe","SERBIA",85.5713272355583,63.5878228506423,110.509051907903,0.0000203246590217556
"150","Gabapentin","Eastern Europe","SLOVAKIA",10.7310099874832,8.63551632496897,12.8669240745344,0.000000733127579895491
"151","Gabapentinoids","Eastern Europe","SLOVAKIA",13.0271078370848,10.0101573586564,16.1267960408998,0.00000293841172631848
"152","Pregabalin","Eastern Europe","SLOVAKIA",14.3766293366827,10.3657062088769,18.5333178919004,0.0000134353415810266
"153","Gabapentin","Southern Europe","SLOVENIA",-2.4466339040035,-3.8906750396078,-0.980896072452397,0.00450298582289485
"154","Gabapentinoids","Southern Europe","SLOVENIA",10.059563736988,9.17448117011888,10.9518217091512,0.000000000666362613605309
"155","Pregabalin","Southern Europe","SLOVENIA",12.6188120092754,10.9350890522546,14.3280897571224,0.0000000247383281515732
"156","Gabapentin","Southern Africa","SOUTH AFRICA",3.70524888723922,2.39199243012447,5.03534887363024,0.000117033019379911
"157","Gabapentinoids","Southern Africa","SOUTH AFRICA",10.8801305488844,8.73318645140382,13.0694662023207,0.000000798437047877309
"158","Pregabalin","Southern Africa","SOUTH AFRICA",13.7310827035784,9.80910229399772,17.7931419409776,0.0000165713018013571
"159","Gabapentin","Eastern Asia","SOUTH KOREA",4.28171220226823,3.63504438520916,4.93241513378206,0.0000000978895907642162
"160","Gabapentinoids","Eastern Asia","SOUTH KOREA",12.1178650014268,11.071959140991,13.1736196038616,0.000000000520957031455178
